Language,bert-base-multilingual-cased,xlm-roberta-large,xlm-roberta-base,mt5-small,mt5-large,stablelm-3b-4e1t,stablelm-zephyr-3b,RedPajama-INCITE-Base-3B-v1
English,2,2,2,2,2,1,2,1
English,1,1,1,2,2,1,1,1
English,2,2,2,1,1,1,1,1
English,1,2,2,1,1,1,1,1
English,1,1,1,1,1,1,1,1
English,2,2,2,2,2,1,1,1
English,1,1,1,1,1,1,1,1
English,1,2,2,1,1,1,1,1
English,2,1,1,1,2,1,1,1
English,1,2,2,2,1,1,2,1
English,1,2,2,2,1,1,1,1
English,1,1,1,2,2,1,1,1
English,1,1,1,1,1,1,2,1
English,1,1,1,2,2,1,1,1
English,1,1,2,1,1,1,1,1
English,2,2,2,2,2,1,1,1
English,2,2,2,1,2,2,1,2
English,1,1,1,2,2,1,1,1
English,1,1,1,1,1,1,1,1
English,1,1,1,2,2,1,1,1
English,1,1,2,1,1,1,1,1
English,2,1,1,2,2,1,1,1
English,2,2,2,2,3,1,1,1
English,2,2,1,3,2,1,3,1
English,1,3,3,1,1,1,3,2
English,2,1,2,2,1,1,1,1
English,2,1,1,1,1,1,1,1
English,3,2,2,3,2,1,1,1
English,1,1,1,2,2,1,2,1
English,2,1,2,1,2,1,1,1
English,1,2,2,1,1,1,1,1
English,2,2,1,2,2,1,1,1
English,1,1,1,1,1,1,1,1
English,2,2,2,2,1,1,1,1
English,1,1,1,1,1,1,1,1
English,1,1,1,1,1,1,1,1
English,1,1,1,1,1,1,1,1
English,1,2,2,2,2,1,1,1
English,2,2,2,1,2,1,1,1
English,1,1,1,1,2,1,1,1
English,1,1,1,2,2,1,1,1
English,3,1,2,3,2,1,1,1
English,2,2,2,2,2,1,1,1
English,1,1,1,2,2,1,1,1
English,1,2,2,2,1,1,1,1
English,1,2,2,2,2,1,1,1
English,2,2,2,2,2,1,1,1
English,2,2,2,2,1,1,2,1
English,1,1,1,1,1,1,1,1
English,1,1,1,1,1,1,1,1
English,1,1,1,2,2,1,1,1
English,1,1,1,1,1,1,1,1
English,1,1,1,1,1,1,1,1
English,1,1,1,2,2,1,1,1
English,1,1,1,2,2,1,1,1
English,1,2,1,1,1,1,1,1
English,1,1,1,1,1,1,1,1
English,1,2,2,2,1,1,1,1
English,1,1,1,1,1,2,2,2
English,1,1,1,1,1,1,1,1
English,2,2,1,2,2,1,1,1
English,1,1,2,1,1,1,1,1
English,1,1,1,2,1,1,1,1
English,1,1,1,2,2,1,1,1
English,1,1,2,1,1,1,1,1
English,1,1,1,1,1,1,1,1
English,2,2,2,2,2,1,2,1
English,1,1,1,1,1,1,1,1
English,2,2,2,1,2,1,1,1
English,1,1,2,1,1,1,1,1
English,9,7,8,7,7,1,3,9
English,1,1,2,3,3,1,1,1
English,1,1,1,1,1,1,1,1
English,1,1,2,2,1,1,1,1
English,2,2,2,1,1,1,1,1
English,1,2,2,2,2,1,2,1
English,1,1,1,1,1,1,1,1
English,1,1,1,2,2,1,1,1
English,1,1,1,1,1,1,1,1
English,1,1,1,1,1,1,1,1
English,1,4,4,3,2,1,1,1
English,2,2,2,2,2,2,2,1
English,1,2,2,2,2,1,1,1
English,1,1,1,1,1,1,1,1
English,1,1,2,2,2,2,1,1
English,1,2,1,1,1,1,1,1
English,1,2,2,2,1,1,1,1
English,1,1,1,1,1,1,1,1
English,1,1,1,1,1,1,2,1
English,1,1,2,1,1,1,1,1
English,1,1,1,1,1,1,1,1
English,2,2,2,2,1,1,2,1
